date,asset_i,asset_j,corr,cluster_order_i,cluster_order_j
2025-12-30,DBC,DBC,1.0,0,0
2025-12-30,DBC,EEM,0.2895643031552616,0,1
2025-12-30,DBC,GLD,0.33660057345335054,0,2
2025-12-30,DBC,IEF,-0.0661336793590334,0,3
2025-12-30,DBC,LQD,0.014376939264989206,0,4
2025-12-30,DBC,SPY,0.239821224883407,0,5
2025-12-30,DBC,TIP,0.16258901070845666,0,6
2025-12-30,DBC,TLT,-0.09859858534970123,0,7
2025-12-30,DBC,VEA,0.29152921295708867,0,8
2025-12-30,DBC,VNQ,0.15413059123995107,0,9
2025-12-30,EEM,DBC,0.2895643031552616,1,0
2025-12-30,EEM,EEM,1.0,1,1
2025-12-30,EEM,GLD,0.2883031242531198,1,2
2025-12-30,EEM,IEF,0.07147083794217937,1,3
2025-12-30,EEM,LQD,0.28759206068316023,1,4
2025-12-30,EEM,SPY,0.6683824928791345,1,5
2025-12-30,EEM,TIP,0.14071174248722576,1,6
2025-12-30,EEM,TLT,0.06032642154495654,1,7
2025-12-30,EEM,VEA,0.7966864771057497,1,8
2025-12-30,EEM,VNQ,0.47582250109068164,1,9
2025-12-30,GLD,DBC,0.33660057345335054,2,0
2025-12-30,GLD,EEM,0.2883031242531198,2,1
2025-12-30,GLD,GLD,1.0,2,2
2025-12-30,GLD,IEF,0.3258080032791739,2,3
2025-12-30,GLD,LQD,0.2969833542736325,2,4
2025-12-30,GLD,SPY,0.12097198541842634,2,5
2025-12-30,GLD,TIP,0.35758072690766124,2,6
2025-12-30,GLD,TLT,0.2382565004221528,2,7
2025-12-30,GLD,VEA,0.30199370615908266,2,8
2025-12-30,GLD,VNQ,0.18592794495952145,2,9
2025-12-30,IEF,DBC,-0.0661336793590334,3,0
2025-12-30,IEF,EEM,0.07147083794217937,3,1
2025-12-30,IEF,GLD,0.3258080032791739,3,2
2025-12-30,IEF,IEF,1.0,3,3
2025-12-30,IEF,LQD,0.8417556635505973,3,4
2025-12-30,IEF,SPY,0.0658722362773178,3,5
2025-12-30,IEF,TIP,0.7647582546983115,3,6
2025-12-30,IEF,TLT,0.8817598606953498,3,7
2025-12-30,IEF,VEA,0.12955615191457429,3,8
2025-12-30,IEF,VNQ,0.2791236937840989,3,9
2025-12-30,LQD,DBC,0.014376939264989206,4,0
2025-12-30,LQD,EEM,0.28759206068316023,4,1
2025-12-30,LQD,GLD,0.2969833542736325,4,2
2025-12-30,LQD,IEF,0.8417556635505973,4,3
2025-12-30,LQD,LQD,1.0,4,4
2025-12-30,LQD,SPY,0.35036963591880277,4,5
2025-12-30,LQD,TIP,0.7234661490438361,4,6
2025-12-30,LQD,TLT,0.8535142201879153,4,7
2025-12-30,LQD,VEA,0.37336440699941975,4,8
2025-12-30,LQD,VNQ,0.45824601434952356,4,9
2025-12-30,SPY,DBC,0.239821224883407,5,0
2025-12-30,SPY,EEM,0.6683824928791345,5,1
2025-12-30,SPY,GLD,0.12097198541842634,5,2
2025-12-30,SPY,IEF,0.0658722362773178,5,3
2025-12-30,SPY,LQD,0.35036963591880277,5,4
2025-12-30,SPY,SPY,1.0,5,5
2025-12-30,SPY,TIP,0.18332963914563644,5,6
2025-12-30,SPY,TLT,0.06085965320390371,5,7
2025-12-30,SPY,VEA,0.8077364737792213,5,8
2025-12-30,SPY,VNQ,0.6823884472160893,5,9
2025-12-30,TIP,DBC,0.16258901070845666,6,0
2025-12-30,TIP,EEM,0.14071174248722576,6,1
2025-12-30,TIP,GLD,0.35758072690766124,6,2
2025-12-30,TIP,IEF,0.7647582546983115,6,3
2025-12-30,TIP,LQD,0.7234661490438361,6,4
2025-12-30,TIP,SPY,0.18332963914563644,6,5
2025-12-30,TIP,TIP,1.0,6,6
2025-12-30,TIP,TLT,0.713424308121238,6,7
2025-12-30,TIP,VEA,0.2210739343090797,6,8
2025-12-30,TIP,VNQ,0.3231450432484497,6,9
2025-12-30,TLT,DBC,-0.09859858534970123,7,0
2025-12-30,TLT,EEM,0.06032642154495654,7,1
2025-12-30,TLT,GLD,0.2382565004221528,7,2
2025-12-30,TLT,IEF,0.8817598606953498,7,3
2025-12-30,TLT,LQD,0.8535142201879153,7,4
2025-12-30,TLT,SPY,0.06085965320390371,7,5
2025-12-30,TLT,TIP,0.713424308121238,7,6
2025-12-30,TLT,TLT,1.0,7,7
2025-12-30,TLT,VEA,0.09778762704575554,7,8
2025-12-30,TLT,VNQ,0.25902105163604816,7,9
2025-12-30,VEA,DBC,0.29152921295708867,8,0
2025-12-30,VEA,EEM,0.7966864771057497,8,1
2025-12-30,VEA,GLD,0.30199370615908266,8,2
2025-12-30,VEA,IEF,0.12955615191457429,8,3
2025-12-30,VEA,LQD,0.37336440699941975,8,4
2025-12-30,VEA,SPY,0.8077364737792213,8,5
2025-12-30,VEA,TIP,0.2210739343090797,8,6
2025-12-30,VEA,TLT,0.09778762704575554,8,7
2025-12-30,VEA,VEA,1.0,8,8
2025-12-30,VEA,VNQ,0.6473680075056971,8,9
2025-12-30,VNQ,DBC,0.15413059123995107,9,0
2025-12-30,VNQ,EEM,0.47582250109068164,9,1
2025-12-30,VNQ,GLD,0.18592794495952145,9,2
2025-12-30,VNQ,IEF,0.2791236937840989,9,3
2025-12-30,VNQ,LQD,0.45824601434952356,9,4
2025-12-30,VNQ,SPY,0.6823884472160893,9,5
2025-12-30,VNQ,TIP,0.3231450432484497,9,6
2025-12-30,VNQ,TLT,0.25902105163604816,9,7
2025-12-30,VNQ,VEA,0.6473680075056971,9,8
2025-12-30,VNQ,VNQ,1.0,9,9
